scope,finding_id,finding,n_items,n_raters,fleiss_kappa,fleiss_kappa_ci_low,fleiss_kappa_ci_high,fleiss_agreement_level,observed_agreement,expected_chance_agreement,exact_agreement_percent,exact_agreement_percent_ci_low,exact_agreement_percent_ci_high,mean_pairwise_agreement_percent,mean_pairwise_agreement_percent_ci_low,mean_pairwise_agreement_percent_ci_high,pairwise_qwk_mean,pairwise_qwk_mean_ci_low,pairwise_qwk_mean_ci_high,pairwise_qwk_median,pairwise_qwk_min,pairwise_qwk_max,pairwise_qwk_agreement_level,ordinal_alpha,ordinal_alpha_ci_low,ordinal_alpha_ci_high,ordinal_alpha_agreement_level,absent_vote_percent,uncertain_vote_percent,present_vote_percent
finding_Edema,6,Edema,300,6,0.09679077938215129,0.049776668530214174,0.1431402813450377,slight,0.882888888888889,0.8703388888888888,71.66666666666667,66.33333333333333,76.66666666666667,88.28888888888888,85.91055555555556,90.55666666666669,0.08263346399755482,0.04618964041980124,0.12065456572470296,0.09195733640818693,-0.021856372409878144,0.2859487852921865,slight,0.5484664253022749,0.5235976296275396,0.575358245530939,moderate,93.16666666666666,3.3333333333333335,3.5000000000000004
finding_Pleural_Other,12,Pleural Other,300,6,0.12816399131564515,0.09078431913222486,0.1675754284300355,slight,0.7531111111111112,0.7168172839506173,50.66666666666667,45.0,55.666666666666664,75.3111111111111,71.955,78.0911111111111,0.14882040427402973,0.10163093179573444,0.20041432258615424,0.16029650220060232,0.015717991759499506,0.2668539325842697,slight,0.5754774814047898,0.5516183410614289,0.6022695287874867,moderate,83.88888888888889,7.333333333333333,8.777777777777777
finding_Fracture,13,Fracture,300,6,0.13483677408851727,0.07543578329254837,0.1987281146416853,slight,0.9311111111111112,0.9203746913580247,83.33333333333334,79.0,87.33333333333333,93.1111111111111,91.22222222222223,94.84555555555556,0.11632801269883751,0.05346503785505268,0.15909709156935736,0.08190518584464723,-0.018313861698768585,0.3633107839235973,slight,0.5774537851703316,0.5374014704205848,0.6080864785419503,moderate,95.88888888888889,2.611111111111111,1.5
finding_Pneumonia,8,Pneumonia,300,6,0.22693195746985614,0.1704251514016978,0.2817687258761866,fair,0.7991111111111112,0.7401407407407407,58.666666666666664,52.666666666666664,64.33333333333333,79.91111111111111,76.88833333333334,82.75611111111111,0.31944542079947424,0.2207672290042622,0.410626219802331,0.29716148309113133,0.20947149643705465,0.4544985968730313,fair,0.6563522012578616,0.6110132453883386,0.7008936119317741,substantial,85.22222222222223,11.222222222222221,3.5555555555555554
finding_Pneumothorax,10,Pneumothorax,300,6,0.2457661642320848,0.027422900420662616,0.4253869023229771,fair,0.9759999999999999,0.9681796296296297,94.0,91.33333333333333,96.33333333333334,97.6,96.46666666666667,98.64444444444443,0.41009321801835796,0.02466031437677613,0.5701030900042787,0.4343891402714932,-0.006711409395973034,0.7474747474747474,moderate,0.6956409595047717,0.5192809446367506,0.8010070662165857,substantial,98.38888888888889,1.0555555555555556,0.5555555555555556
finding_Enlarged_Cardiomediastinum,2,Enlarged Cardiomediastinum,300,6,0.25566084414888796,0.20731127813420502,0.30736291110449265,fair,0.7297777777777777,0.6369635802469137,47.0,41.333333333333336,53.0,72.97777777777779,69.93222222222222,76.1561111111111,0.26176518463719856,0.21297610956662297,0.312975426841307,0.29777436684574066,0.02835696413678057,0.5358187134502923,fair,0.6336246810668325,0.6085413006965378,0.6596620768280846,substantial,76.72222222222223,1.3333333333333335,21.944444444444443
finding_Atelectasis,9,Atelectasis,300,6,0.2625139430543284,0.2175704176289698,0.30658581303084204,fair,0.7253333333333333,0.6275635802469136,44.0,38.666666666666664,49.666666666666664,72.53333333333333,69.35444444444445,75.49,0.3221579370683937,0.2685370790054558,0.3723207397295329,0.34730750541149447,0.1130529047517369,0.45061932497392987,fair,0.6511974166683372,0.6243564280578467,0.6767332622675801,substantial,76.72222222222223,3.944444444444444,19.333333333333332
finding_Consolidation,7,Consolidation,300,6,0.2706983061424417,0.20319198999792956,0.3350109008858681,fair,0.8037777777777777,0.730945061728395,59.0,53.0,64.33333333333333,80.37777777777778,77.31111111111112,83.3788888888889,0.3570283523431923,0.26663335076583455,0.435307708016602,0.35777673984119573,0.23478161183079216,0.46194541300949865,fair,0.6784095916583923,0.6356273700177246,0.7166407744358122,substantial,84.77777777777777,5.833333333333333,9.388888888888888
finding_Lung_Lesion,5,Lung Lesion,300,6,0.3283256786551352,0.2603768064183005,0.39610711797464504,fair,0.8031111111111111,0.7068685185185185,60.66666666666667,55.333333333333336,66.33333333333333,80.31111111111112,77.42222222222223,83.17777777777775,0.4308672981248859,0.3291081645480579,0.520322646659935,0.4239226033421284,0.3621007553678701,0.5697863036885535,moderate,0.7158800083910215,0.6674516802716306,0.7590946178436151,substantial,83.22222222222221,9.388888888888888,7.388888888888889
finding_Lung_Opacity,4,Lung Opacity,300,6,0.409157009246999,0.35101565416460945,0.4695565172701942,moderate,0.7308888888888888,0.5445302469135802,42.0,36.666666666666664,47.34166666666666,73.0888888888889,70.555,75.9111111111111,0.4353862471416929,0.3749587889345093,0.4949364720770384,0.44184231069476965,0.3427518427518427,0.5517097581317765,moderate,0.7158256748896197,0.6845575596274055,0.7459750200803018,substantial,66.83333333333333,1.9444444444444444,31.222222222222225
finding_Pleural_Effusion,11,Pleural Effusion,300,6,0.45961087237352066,0.39414407614847036,0.5246872084453599,moderate,0.7975555555555557,0.6253728395061728,61.0,55.666666666666664,66.66666666666666,79.75555555555556,76.64444444444445,82.95555555555555,0.5804563493061468,0.5099036655287792,0.6487718334197766,0.5829033367733059,0.39655172413793105,0.6707943758475483,moderate,0.7882799059021803,0.7519146143399152,0.8221027439950962,substantial,77.11111111111111,6.666666666666667,16.22222222222222
finding_No_Finding,1,No Finding,300,6,0.46409573949877825,0.40774955380129746,0.5198241710935099,moderate,0.7453333333333333,0.5247907407407407,45.33333333333333,39.666666666666664,51.0,74.53333333333333,71.755,77.37944444444445,0.4907276473928361,0.4347955904883794,0.5472600872099739,0.5104251350963608,0.3325070821529744,0.635058048210131,moderate,0.7430458423261113,0.7140660773763553,0.7718737211886675,substantial,63.55555555555556,1.7222222222222223,34.72222222222222
finding_Cardiomegaly,3,Cardiomegaly,300,6,0.5537988992769646,0.4898977648392913,0.613275407748823,moderate,0.8117777777777778,0.5781672839506173,60.0,55.00000000000001,65.66666666666666,81.17777777777776,78.59888888888888,84.00388888888887,0.5895848612167605,0.5271182317261602,0.6487262336530849,0.5912049531671695,0.5253164556962026,0.6723145780051152,moderate,0.7947923808282947,0.7635132091596176,0.8246121600260736,substantial,71.05555555555556,1.9444444444444444,27.0
